Time,Elapsed,Events_Updated,Type,Length,,,,,,
03-21-2017_21:00:30,4.11,"[9715905,9714359,9714360,9741691,9821718,9710825,9718362,9718365,9767595,9767599,9741446,9741448,9708492,9708486,9715643,9821743,9821744,9715642,9713228,9713226,9713227,9711009,9711010,9691475,9710888,9728079,9736349,9736351,9703578,9703577,9731906,9724479,9711093,9711094,9744280,9706051,9706049,9736549,9736550,9722329,9722326]",7-15,41,,,Row Labels,Average of Elapsed,StdDev of Elapsed,Average of Length
03-21-2017_21:00:38,7.73,"[9714970,9714969,9714952,9714972,9714975,9714976,9715013,9715020,9714991,9714992,9715047,9715048,9715021,9715022,9715043,9715044,9715050,9715011,9715051,9715003,9715023,9715024,9715025,9715026,9715016,9715004,9715019,9715037,9715033,9715034,9715017,9715018,9715014,9715015,9714977,9715035,9714993,9714995,9714990,9714998,9715052,9715042,9715032,9715046,9714984,9714997,9714999,9715031,9714983,9714978,9714985,9714986,9714979,9714980,9714987,9715030,9715008,9714981,9714982,9714971,9714973,9714988,9714989,9714951,9714996,9715005,9715006,9715007,9715012,9715040,9715027,9715000,9715001,9715002,9715028,9715029,9715009,9715010,9714994,9715038,9715039]",15+,81,,,0-7,0.05,0.01,0.00
03-21-2017_21:20:28,0.07,[],0-7,0,,,15+,7.87,0.72,77.76
03-21-2017_21:10:45,10.11,"[9705272,9705294,9705237,9705240,9705273,9705295,9705281,9705246,9705271,9705279,9705293,9705255,9705280,9705238,9705241,9705220,9705239,9705245,9705256,9705218,9705254,9705222,9705244,9705242,9705223,9705274,9705275,9705229,9705269,9705302,9705267,9705270,9705268,9705301,9705233,9705234,9705235,9705236,9705263,9705261,9705260,9705284,9705282,9705285,9705283,9705250,9705296,9705297,9705208,9705277,9705248,9705249,9705227,9705230,9705303,9705278,9705276,9705298,9705300,9705211,9705257,9705210,9705299,9705216,9705214,9705258,9705259,9705289,9705290,9705291,9705264,9705265,9705266,9705253,9705286]",15+,75,,,7-15,4.83,0.54,49.00
03-21-2017_21:20:39,7.57,"[9703617,9703620,9703628,9703631,9703639,9703642,9703653,9703606,9703598,9703590,9703587,9703646,9703623,9703635,9703589,9703626,9703648,9703651,9703579,9703582,9703591,9703594,9703602,9703611,9703633,9703655,9703596,9703637,9703640,9703638,9703627,9703603,9703614,9703652,9703601,9703609,9703588,9703599,9703607,9703610,9703621,9703632,9703583,9703613,9703592,9703608,9703616,9703630,9703641,9703650,9703585,9703649,9703636,9703586,9703597,9703605,9703584,9703595,9703647,9703604,9703625,9703612,9703634,9703656,9703643,9703600,9703657,9703644,9703580,9703629,9703654,9703624,9703619,9703622,9703593,9703645,9703618,9703581,9703615]",15+,79,,,Grand Total,5.28,3.60,52.10
03-21-2017_21:30:46,7.91,"[9708726,9708615,9708616,9708596,9708626,9708637,9708640,9708648,9708673,9708714,9708597,9708627,9708630,9708638,9708649,9708696,9708635,9708646,9708679,9708682,9708712,9708723,9708614,9708625,9708636,9708647,9708661,9708669,9708694,9708724,9708735,9708746,9708598,9708606,9708617,9708608,9708628,9708619,9708639,9708633,9708664,9708666,9708697,9708707,9708749,9708718,9708618,9708609,9708612,9708632,9708634,9708687,9708681,9708706,9708708,9708739,9708733,9708744,9708755,9708620,9708611,9708631,9708622,9708642,9708644,9708686,9708677,9708727,9708710,9708607,9708743,9708621,9708629,9708623,9708643,9708645,9708690,9708689,9708720,9708711,9708753]",15+,81,,,,,,
03-21-2017_21:40:36,0.05,[],0-7,0,,,,,,
03-21-2017_21:40:45,7.56,"[9711534,9711525,9711547,9711473,9711476,9711504,9711515,9711526,9711562,9711521,9711522,9711520,9711523,9711505,9711530,9711453,9711475,9711503,9711514,9711506,9711531,9711454,9711564,9711559,9711507,9711510,9711532,9711455,9711565,9711508,9711511,9711456,9711501,9711509,9711512,9711545,9711446,9711567,9711457,9711460,9711502,9711513,9711524,9711546,9711557,9711568,9711447,9711458,9711543,9711517,9711518,9711486,9711489,9711519,9711539,9711488,9711540,9711541,9711497,9711498,9711496,9711500,9711536,9711537,9711485,9711482,9711483,9711529,9711465,9711527,9711528,9711480,9711479,9711478,9711469,9711470,9711552,9711553,9711550,9711471,9711467]",15+,81,,,,,,
03-21-2017_21:50:45,7.62,"[9724431,9724437,9724429,9724498,9724435,9724457,9724460,9724493,9724512,9724425,9724436,9724502,9724455,9724491,9724499,9724434,9724456,9724489,9724500,9724511,9724184,9724393,9724426,9724451,9724459,9724462,9724484,9724495,9724503,9724176,9724187,9724427,9724430,9724438,9724452,9724463,9724496,9724428,9724439,9724453,9724497,9724505,9724390,9724398,9724481,9724483,9724477,9724476,9724473,9724433,9724432,9724474,9724469,9724466,9724467,9724196,9724274,9724202,9724267,9724270,9724354,9724309,9724323,9724356,9724305,9724313,9724447,9724317,9724331,9724326,9724351,9724510,9724508,9724509,9724198,9724290,9724287,9724205,9724203,9724449]",15+,80,,,,,,
03-21-2017_22:00:39,4.03,"[9715905,9714359,9714360,9741691,9821718,9710825,9718362,9718365,9767595,9767599,9741446,9741448,9708492,9708486,9715643,9821743,9821744,9715642,9713228,9713226,9713227,9711009,9711010,9691475,9710888,9728079,9736349,9736351,9703578,9703577,9731906,9724479,9711093,9711094,9744280,9706051,9706049,9736549,9736550,9722329,9722326]",7-15,41,,,,,,
03-21-2017_22:00:45,7.54,"[9711099,9711100,9711103,9711097,9711196,9711101,9711109,9711111,9711113,9711124,9711116,9711117,9711128,9711112,9711138,9711149,9711163,9711174,9711139,9711142,9711164,9711175,9711144,9711154,9711165,9711135,9711150,9711161,9711172,9711194,9711148,9711159,9711162,9711195,9711141,9711167,9711136,9711147,9711178,9711181,9711107,9711095,9711169,9711192,9711166,9711177,9711123,9711134,9711156,9711143,9711180,9711098,9711187,9711122,9711129,9711132,9711096,9711115,9711126,9711140,9711184,9711146,9711160,9711168,9711179,9711182,9711170,9711189,9711121,9711119,9711114,9711131,9711153,9711145,9711120,9711125,9711190,9711127,9711185]",15+,79,,,,,,
03-21-2017_22:10:49,7.89,"[9708084,9708059,9708095,9708114,9708052,9708074,9708096,9708115,9708057,9708060,9708071,9708079,9708058,9708061,9708069,9708072,9708083,9708116,9708097,9708127,9708130,9708080,9708107,9708129,9708132,9708106,9708128,9708081,9708108,9708076,9708062,9708056,9708123,9708118,9708065,9708067,9708117,9708101,9708090,9708120,9708102,9708088,9708121,9708089,9708100,9708122,9708068,9708091,9708082,9708126,9708099,9708087,9708055,9708054,9708053,9708110,9708075,9708111,9708133,9708119,9708078,9708070,9708092,9708093,9708109,9708063,9708131,9708098,9708086,9708105,9708077,9708064,9708112,9708124,9708125,9708113,9708085,9708066,9708094,9708103,9708104]",15+,81,,,,,,
03-21-2017_22:20:44,0.05,[],0-7,0,,,,,,
03-21-2017_22:20:48,7.8,"[9717314,9717315,9717316,9717271,9717273,9717272,9717320,9717318,9717321,9717333,9717319,9717257,9717334,9717258,9717335,9717259,9717322,9717279,9717301,9717309,9717293,9717327,9717308,9717311,9717281,9717294,9717254,9717265,9717287,9717339,9717353,9717255,9717266,9717307,9717260,9717286,9717297,9717305,9717302,9717313,9717328,9717298,9717299,9717277,9717276,9717300,9717262,9717284,9717295,9717263,9717285,9717296,9717304,9717425,9717326,9717280,9717288,9717264,9717282,9717312,9717261,9717283,9717306,9717270,9717330,9717331,9717332,9717267,9717268,9717323,9717269,9717324,9717275,9717290,9717338,9717291,9717289,9717292,9717336,9717337,9717256]",15+,81,,,,,,
03-21-2017_22:30:52,7.7,"[9706163,9706152,9706138,9706158,9706150,9706147,9706143,9706126,9706100,9706164,9706162,9706159,9706151,9706148,9706140,9706137,9706101,9706109,9706112,9706134,9706167,9706156,9706145,9706113,9706168,9706160,9706157,9706146,9706135,9706105,9706127,9706103,9706125,9706099,9706107,9706141,9706106,9706131,9706165,9706096,9706132,9706108,9706153,9706130,9706114,9706110,9706129,9706154,9706155,9706144,9706059,9706073,9706072,9706055,9706066,9706056,9706067,9706070,9706078,9706081,9706079,9706084,9706095,9706074,9706085,9706064,9706054,9706060,9706068,9706058,9706052,9706071,9706092,9706082,9706094,9706075,9706086,9706076,9706090]",15+,79,,,,,,
03-21-2017_22:40:49,0.05,[],0-7,0,,,,,,
03-21-2017_22:40:52,7.71,"[9712942,9712918,9712923,9712967,9712917,9712972,9712910,9712904,9712971,9712937,9712973,9712938,9712974,9712944,9712943,9712902,9712913,9712924,9712964,9712903,9712925,9712936,9712911,9712919,9712908,9712966,9712965,9712909,9712912,9712970,9712905,9712952,9712968,9712969,9712906,9712953,9712907,9712954,9712930,9712931,9712929,9712932,9712920,9712921,9712922,9712982,9712981,9712959,9712958,9712935,9712933,9712934,9712940,9712941,9712939,9712957,9712955,9712956,9712928,9712926,9712927,9712980,9712945,9712978,9712946,9712960,9712947,9712961,9712962,9712963,9712949,9712950,9712977,9712979,9712915,9712948,9712951,9712916,9712914,9712975,9712976]",15+,81,,,,,,
03-21-2017_22:50:52,7.35,"[9721595,9721603,9721834,9722233,9722307,9722318,9721585,9721596,9721604,9721835,9722234,9721597,9721605,9721616,9721836,9722235,9722309,9722312,9721587,9721617,9721838,9722226,9722237,9722240,9722248,9722251,9721580,9721599,9721687,9721837,9722236,9721608,9721828,9722230,9722348,9722335,9722261,9721590,9722332,9722288,9722300,9722295,9721830,9721591,9721588,9721577,9721831,9721592,9721589,9721578,9721570,9722341,9722286,9721593,9721579,9721571,9722342,9722317,9722298,9722290,9721594,9721572,9721569,9721601,9721829,9721832,9722217,9722228,9722239,9721602,9721833,9722229,9722232,9722254,9722320,9722349,9722345,9722238]",15+,78,,,,,,
03-21-2017_23:00:52,0.05,[],0-7,0,,,,,,
03-21-2017_23:20:56,0.07,[],0-7,0,,,,,,
03-21-2017_23:40:56,0.06,[],0-7,0,,,,,,
03-22-2017_00:00:56,4.46,"[9715906,9715905,9714359,9714360,9741691,9821718,9710825,9710826,9718362,9718365,9767595,9767599,9741446,9741448,9708492,9708486,9715643,9821743,9821744,9715642,9713228,9713226,9713227,9711009,9711010,9691476,9691475,9710889,9710888,9728079,9736349,9736351,9703578,9703577,9731906,9724479,9724481,9711093,9711094,9744280,9706051,9706049,9736549,9736550,9722332,9722329,9722326]",7-15,47,,,,,,
03-22-2017_00:00:59,7.69,"[9715974,9715901,9715909,9715912,9715934,9715970,9715978,9715899,9715910,9715918,9715929,9715932,9715954,9715965,9715976,9715900,9715911,9715919,9715955,9715966,9715927,9715930,9715952,9715898,9715920,9715928,9715931,9715953,9715964,9715975,9715895,9715914,9715925,9715947,9715950,9715972,9715904,9715915,9715926,9715948,9715951,9715894,9715902,9715913,9715935,9715946,9715971,9715979,9715963,9715959,9715969,9715968,9715967,9715938,9715941,9715939,9715942,9715943,9715944,9715916,9715921,9715922,9715917,9727441,9715961,9715960,9715933,9715897,9715949,9715977,9715945,9715936,9715937,9715940,9715956,9715957,9715958,9715923,9715924]",15+,79,,,,,,
03-22-2017_00:20:55,0.05,[],0-7,0,,,,,,
03-22-2017_00:10:64,10.11,"[9714375,9714449,9714402,9714390,9714420,9714376,9714394,9714422,9714374,9714404,9714393,9714395,9714450,9714388,9714377,9714405,9714427,9714430,9714372,9714421,9714429,9714389,9714403,9714448,9714423,9714380,9714400,9714398,9714399,9714370,9714379,9714382,9714381,9714369,9714371,9714364,9714443,9714415,9714366,9714413,9714414,9714441,9714365,9714442,9714425,9714362,9714451,9714434,9714361,9714432,9714433,9714452,9714426,9714424,9714453,9714410,9714411,9714368,9714409,9714445,9714446,9714407,9714367,9714408,9714444,9714437,9714435,9714438,9714439,9714447,9714387,9714384,9714385]",15+,73,,,,,,
03-22-2017_00:20:62,7.61,"[9710817,9710820,9710842,9710796,9710862,9710835,9710811,9710844,9710797,9710838,9710816,9710841,9710863,9710798,9710793,9710809,9710840,9710860,9710799,9710810,9710818,9710821,9710843,9710819,9710881,9710795,9710836,9710801,9710812,9710800,9710794,9710839,9710861,9710829,9710832,9710869,9710867,9710868,9710834,9710833,9710827,9710830,9710828,9710831,9710854,9710858,9710850,9710857,9710853,9710856,9710859,9710851,9710852,9710872,9710845,9710846,9710865,9710866,9710870,9710871,9710855,9710847,9710848,9710849,9710815,9710822,9710823,9710824,9710880,9710879,9710864,9710805,9710807,9710806,9710803,9710804,9710802,9710813,9710814]",15+,79,,,,,,
03-22-2017_00:30:64,7.48,"[9718390,9718442,9718443,9718382,9718456,9718455,9718453,9718384,9718458,9718416,9718430,9718438,9718441,9718449,9718463,9718375,9718434,9718417,9718428,9718431,9718464,9718435,9718446,9718460,9718372,9718462,9718433,9718444,9718445,9718461,9718440,9718394,9718374,9718366,9718436,9718447,9718368,9718439,9718393,9718437,9718448,9718459,9718429,9718432,9718450,9718377,9718380,9718378,9718452,9718451,9718379,9718412,9718423,9718422,9718371,9718369,9718370,9718424,9718395,9718413,9718425,9718414,9718411,9718419,9718392,9718398,9718391,9718427,9718426,9718396,9718415,9718385,9718418,9718399,9718400,9718420,9718397,9718421,9718389]",15+,79,,,,,,
03-22-2017_00:40:58,0.05,[],0-7,0,,,,,,
03-22-2017_00:40:64,7.51,"[9717103,9717162,9717104,9717119,9717115,9717117,9717084,9717082,9717083,9717165,9717163,9717105,9717164,9717123,9717134,9717145,9717057,9717060,9717101,9717135,9717146,9717160,9717050,9717102,9717113,9717121,9717129,9717132,9717154,9717141,9717088,9717127,9717130,9717122,9717133,9717144,9717089,9717100,9717111,9717128,9717131,9717153,9717125,9717161,9717098,9717055,9717099,9717149,9717152,9717053,9717097,9717142,9717136,9717120,9717147,9717150,9717054,9717090,9717051,9717114,9717140,9717126,9717148,9717159,9717049,9717052,9717137,9717138,9717109,9717094,9717095,9717096,9717107,9717106,9717091,9717092,9717158,9717155,9717156,9717157,9717093]",15+,81,,,,,,
03-22-2017_00:50:68,9.86,"[9715628,9715631,9715596,9715549,9715629,9715632,9715676,9715594,9715624,9715635,9715668,9715671,9715679,9715595,9715669,9715633,9715680,9715626,9715673,9715486,9715667,9715670,9715674,9715622,9715592,9715581,9715593,9715582,9715587,9715588,9715591,9715586,9715584,9715589,9715651,9715653,9715652,9715603,9715605,9715598,9715470,9715462,9715464,9715608,9715611,9715619,9715612,9715614,9715610,9715662,9715617,9715620,9715616,9715570,9715568,9715571,9715569,9715465,9715466,9715471,9715469,9715663,9715657,9715559,9715556,9715482,9715483,9715480,9715484,9715637,9715641,9715639,9715654,9715655,9715656,9715648,9715646,9715647,9715565,9715564,9715562]",15+,81,,,,,,
03-22-2017_01:00:56,0.05,[],0-7,0,,,,,,
03-22-2017_01:00:65,7.79,"[9722542,9722553,9722597,9723599,9722576,9722620,9723535,9723519,9722480,9723602,9722541,9722585,9723604,9722965,9722957,9722968,9722971,9723408,9723006,9723523,9723589,9722582,9722601,9723503,9722986,9722558,9722613,9723348,9723463,9722523,9722495,9723515,9723425,9723447,9723509,9722981,9722506,9722520,9723591,9723480,9723537,9723401,9723530,9723526,9729557,9723359,9722482,9722493,9722466,9723512,9722490,9723412,9722536,9723496,9723457,9723409,9722617,9723445,9722543,9723470,9723478,9722530,9723465,9722486,9723464,9723475,9723505,9723002,9722573,9729558,9722515,9723453,9722985,9723000,9722560,9722592,9722568,9723507,9723499,9723541,9722598]",15+,81,,,,,,
