Event_Id,Listing_ID,Seat_15_Barcode,Seat_16_Barcode,Date,,,,
9710888,,Q7U7-ZQW269KQ,Q7U7-HLNXXEVL,4/3/17,,,,
9710889,,Y7U7-NYH273LY,Y7U7-TCV246SC,4/5/17,,,,
9710890,,H7U7-URPGAAWR,H7U7-TCV946SC,4/6/17,,,,
9710918,,U7U7-ZQW999KQ,U7U7-TJV237SC,4/7/17,,,,
9710919,,W7U7-HKNDGFVL,W7U7-ZYW672KQ,4/8/17,,,,
9710920,1232289505,V7U7-TJV637SC,V7U7-NQH698LY,4/9/17,,,,
9710948,1232289520,S7U7-HKNDDFVL,S7U7-ZYW622KQ,4/18/17,,,,
9710949,1232289511,K7U7-TJV657SC,K7U7-VRTMFXHS,4/19/17,,,,
9710950,1232289522,R7U7-NQH978LY,R7U7-WLZGGMUK,4/20/17,,,,
9710927,,L7U7-VRTGFXHS,L7U7-HKNGMFVL,4/21/17,,,,
9710928,,N7U7-ZYW292KQ,N7U7-HKNXMFVL,4/22/17,,,,
9710929,1232289476,P7U7-USPXABWR,P7U7-ZYW779KQ,4/23/17,,,,
9710891,1232289528,Z7U7-USPGFAWR,Z7U7-TJV936SC,4/25/17,,,,
9710892,1232289548,T7U7-ZYW979KQ,T7U7-PCU945RJ,4/26/17,,,,
9710893,1232289545,72U7-HKNDDEVL,72U7-ZYW629KQ,4/27/17,,,,
9710921,1232289508,22U7-TJV656SC,22U7-VRTMFGHS,5/5/17,,,,
9710922,,62U7-NQH973LY,62U7-WLZGGDUK,5/6/17,,,,
9710923,,92U7-VRTGFGHS,92U7-HKNGMEVL,5/7/17,,,,
9710915,1232289482,52U7-ZYW299KQ,52U7-HKNXMEVL,5/8/17,,,,
9710916,1232289498,32U7-USPXAAWR,32U7-UZPDFBWR,5/9/17,,,,
9710917,1232289496,42U7-ZUW272KQ,42U7-HTNXGFVL,5/10/17,,,,
9710882,1232289524,82U7-UZPXFBWR,82U7-WPZXMMUK,5/19/17,,,,
9710883,1232289533,X2U7-ZUW222KQ,X2U7-HTNXDFVL,5/20/17,,,,
9710884,,M2U7-UZPXBBWR,M2U7-PWU934RJ,5/21/17,,,,
