Team,Event_Id,Time,Type

Baltimore Orioles,9715974,15797,
Baltimore Orioles,9715901,13695,
Baltimore Orioles,9715909,12234,
Baltimore Orioles,9715912,14430,
Baltimore Orioles,9715934,13952,
Baltimore Orioles,9715970,13131,
Baltimore Orioles,9715978,14485,
Baltimore Orioles,9715899,18973,
Baltimore Orioles,9715910,26964,
Baltimore Orioles,9715918,14355,
Baltimore Orioles,9715929,16027,
Baltimore Orioles,9715932,15359,
Baltimore Orioles,9715954,15463,
Baltimore Orioles,9715965,16153,
Baltimore Orioles,9715976,12261,
Baltimore Orioles,9715900,12452,
Baltimore Orioles,9715911,12400,
Baltimore Orioles,9715919,14017,
Baltimore Orioles,9715955,12791,
Baltimore Orioles,9715966,12406,
Baltimore Orioles,9715927,14290,
Baltimore Orioles,9715930,13241,
Baltimore Orioles,9715952,12447,
Baltimore Orioles,9715898,12507,
Baltimore Orioles,9715906,14346,
Baltimore Orioles,9715920,12550,
Baltimore Orioles,9715928,12910,
Baltimore Orioles,9715931,17626,
Baltimore Orioles,9715953,18537,
Baltimore Orioles,9715964,12350,
Baltimore Orioles,9715975,16171,
Baltimore Orioles,9715895,14905,
Baltimore Orioles,9715914,12766,
Baltimore Orioles,9715925,12268,
Baltimore Orioles,9715947,17066,
Baltimore Orioles,9715950,13369,
Baltimore Orioles,9715972,12569,
Baltimore Orioles,9715904,16206,
Baltimore Orioles,9715915,20539,
Baltimore Orioles,9715926,11692,
Baltimore Orioles,9715948,12090,
Baltimore Orioles,9715951,17771,
Los Angeles Dodgers,9714375,20292,
Baltimore Orioles,9715894,12461,
Los Angeles Dodgers,9714449,20129,
Baltimore Orioles,9715902,13943,
Baltimore Orioles,9715913,15994,
Los Angeles Dodgers,9714402,20433,
Baltimore Orioles,9715935,16194,
Los Angeles Dodgers,9714390,23911,
Baltimore Orioles,9715946,12754,
Baltimore Orioles,9715971,16903,
Los Angeles Dodgers,9714420,21034,
Baltimore Orioles,9715979,17176,
Los Angeles Dodgers,9714376,17650,
Baltimore Orioles,9715963,14769,
Los Angeles Dodgers,9714394,19502,
Baltimore Orioles,9715959,16363,
Los Angeles Dodgers,9714422,19392,
Baltimore Orioles,9715969,17315,
Los Angeles Dodgers,9714374,19570,
Baltimore Orioles,9715968,14275,
Los Angeles Dodgers,9714404,17451,
Baltimore Orioles,9715967,17690,
Baltimore Orioles,9715938,19060,
