Event_Id,Event_Time,Seat_15_Barcode,Seat_16_Barcode,Listing_ID,
9710888,2017-04-03 17:10:00+00:00,Q7U7-ZQW269KQ,Q7U7-HLNXXEVL,1232289505,2017-04-03
9710889,2017-04-05 23:10:00+00:00,Y7U7-NYH273LY,Y7U7-TCV246SC,,2017-04-05
9710890,2017-04-06 23:10:00+00:00,H7U7-URPGAAWR,H7U7-TCV946SC,,2017-04-06
9710918,2017-04-07 23:10:00+00:00,U7U7-ZQW999KQ,U7U7-TJV237SC,,2017-04-07
9710919,2017-04-08 23:10:00+00:00,W7U7-HKNDGFVL,W7U7-ZYW672KQ,,2017-04-08
9710920,2017-04-10 00:00:00+00:00,V7U7-TJV637SC,V7U7-NQH698LY,,2017-04-10
9710948,2017-04-18 23:10:00+00:00,S7U7-HKNDDFVL,S7U7-ZYW622KQ,,2017-04-18
9710949,2017-04-19 23:10:00+00:00,K7U7-TJV657SC,K7U7-VRTMFXHS,,2017-04-19
9710950,2017-04-20 23:10:00+00:00,R7U7-NQH978LY,R7U7-WLZGGMUK,,2017-04-20
9710927,2017-04-21 23:10:00+00:00,L7U7-VRTGFXHS,L7U7-HKNGMFVL,,2017-04-21
9710928,2017-04-22 20:05:00+00:00,N7U7-ZYW292KQ,N7U7-HKNXMFVL,,2017-04-22
9710929,2017-04-24 00:00:00+00:00,P7U7-USPXABWR,P7U7-ZYW779KQ,,2017-04-24
9710891,2017-04-25 23:10:00+00:00,Z7U7-USPGFAWR,Z7U7-TJV936SC,,2017-04-25
9710892,2017-04-26 23:10:00+00:00,T7U7-ZYW979KQ,T7U7-PCU945RJ,,2017-04-26
9710893,2017-04-27 17:10:00+00:00,72U7-HKNDDEVL,72U7-ZYW629KQ,,2017-04-27
9710921,2017-05-05 23:10:00+00:00,22U7-TJV656SC,22U7-VRTMFGHS,,2017-05-05
9710922,2017-05-06 23:10:00+00:00,62U7-NQH973LY,62U7-WLZGGDUK,,2017-05-06
9710923,2017-05-07 17:10:00+00:00,92U7-VRTGFGHS,92U7-HKNGMEVL,,2017-05-07
9710915,2017-05-08 23:10:00+00:00,52U7-ZYW299KQ,52U7-HKNXMEVL,,2017-05-08
9710916,2017-05-09 23:10:00+00:00,32U7-USPXAAWR,32U7-UZPDFBWR,,2017-05-09
9710917,2017-05-10 17:10:00+00:00,42U7-ZUW272KQ,42U7-HTNXGFVL,,2017-05-10
9710882,2017-05-19 23:10:00+00:00,82U7-UZPXFBWR,82U7-WPZXMMUK,,2017-05-19
9710883,2017-05-20 23:15:00+00:00,X2U7-ZUW222KQ,X2U7-HTNXDFVL,,2017-05-20
9710884,2017-05-21 17:10:00+00:00,M2U7-UZPXBBWR,M2U7-PWU934RJ,,2017-05-21
9710945,2017-05-23 23:10:00+00:00,G2U7-WPZMGMUK,G2U7-NVH778LY,,2017-05-23
9710946,2017-05-24 23:10:00+00:00,D2U7-PWU734RJ,D2U7-ZUW792KQ,,2017-05-24
9710947,2017-05-25 23:10:00+00:00,A2U7-HTNDMFVL,A2U7-ZUW692KQ,,2017-05-25
9710897,2017-05-29 17:10:00+00:00,E2U7-THV647SC,E2U7-HTNGGEVL,,2017-05-29
9710898,2017-05-30 23:10:00+00:00,B2U7-THV736SC,B2U7-UZPMFAWR,,2017-05-30
9710899,2017-05-31 23:10:00+00:00,F2U7-HTNMGEVL,F2U7-VNTMAGHS,,2017-05-31
9710900,2017-06-01 17:10:00+00:00,C2U7-VNTXAGHS,C2U7-PWU245RJ,,2017-06-01
9710957,2017-06-02 23:10:00+00:00,Q2U7-NVH293LY,Q2U7-HTNGXEVL,,2017-06-02
9710958,2017-06-03 23:15:00+00:00,J2U7-THV786SC,J2U7-UZPMEAWR,,2017-06-03
9710959,2017-06-04 17:10:00+00:00,Y2U7-HTNMXEVL,Y2U7-VNTMBGHS,,2017-06-04
9710905,2017-06-12 23:10:00+00:00,H2U7-PWU655RJ,H2U7-VNTDBGHS,,2017-06-12
9710906,2017-06-13 23:10:00+00:00,U2U7-WPZDDDUK,U2U7-VZTMEXHS,,2017-06-13
9710907,2017-06-14 23:10:00+00:00,W2U7-NUH968LY,W2U7-WTZGXMUK,,2017-06-14
9710931,2017-06-15 23:10:00+00:00,V2U7-VZTGEXHS,V2U7-HPNGDFVL,,2017-06-15
9710933,2017-06-16 23:10:00+00:00,S2U7-NUH998LY,S2U7-WTZGMMUK,,2017-06-16
